Unnamed: 0,Justificativa,Justificativa_processada,Justificativa_classificada
33,PREPARAÇAO CILINDRO DE GIRO CANHAO1 AF2,preparacao cilindro de giro canhao1 af2,Manutenção/Inspeção/Teste de Máquina
34,TROCA DO CILINDRO DE GIRO CANHAO1 AF2,troca do cilindro de giro canhao1 af2,Manutenção/Inspeção/Teste de Máquina
35,TROCA DA MARRETA 4 AF3,troca da marreta 4 af3,Manutenção/Inspeção/Teste de Máquina
36,TROCA DA FM26,troca da fm26,Manutenção/Inspeção/Teste de Máquina
37,ORGANIZAÇAO DO GALPÃO,organizacao do galpao,Outros Eventos Externos
38,SINTER 1 QUEBRA DA CALHA VIBRATORIA,sinter 1 quebra da calha vibratoria,Parada de Máquina
39,RETIRADA DA CARRIAGEM,retirada da carriagem,Manutenção/Inspeção/Teste de Máquina
40,ACOMPANHAMENTO NA OFICINA CENTRAL CARRIAGEM,acompanhamento na oficina central carriagem,Manutenção/Inspeção/Teste de Máquina
41,MONTAGEM DA LANÇA MOVEL,montagem da lanca movel,Manutenção/Inspeção/Teste de Máquina
42,PARADA DO AF2,parada do af2,Parada de Máquina
43,PARADA DO AF1,parada do af1,Parada de Máquina
44,PARADA AF3,parada af3,Parada de Máquina
45,ACIONAMENTO DO JIB 2,acionamento do jib 2,Manutenção/Inspeção/Teste de Máquina
46,ORGANIZAÇÃO DO GALPÃO,organizacao do galpao,Outros Eventos Externos
47,VENTILADOR 1 DA REFRIGERAÇAÕ,ventilador 1 da refrigeracao,Parada de Máquina
48,MOSTRAR GUINDASTE PARA RETIRADA DA SONDAGEM NO AF2,mostrar guindaste para retirada da sondagem no af2,Manutenção/Inspeção/Teste de Máquina
49,RECEBIMENTO DA LANÇA FIXA AF3,recebimento da lanca fixa af3,Não Classificado
50,ACOMPANHAMENTO DO AF3,acompanhamento do af3,Manutenção/Inspeção/Teste de Máquina
51,PARADA DE EMERGENCIA AF3,parada de emergencia af3,Parada de Máquina
52,JIB 2,jib 2,Não Classificado
53,PENEIRA 3 DE COQUE TRACA DAS VIGAS,peneira 3 de coque traca das vigas,Parada de Máquina
54,PENEIRA 4 DE COQUE CELULA VIBRATORIA,peneira 4 de coque celula vibratoria,Parada de Máquina
55,REDUTOR 4 MCC3 VAZAMENTO DE OLEO EIXO DE ENTRADA LADO FREIO,redutor 4 mcc3 vazamento de oleo eixo de entrada lado freio,Manutenção/Inspeção/Teste de Máquina
56,FABRICAÇÃO DE CARRETEL PARA CIRCUITO FECHADO 1,fabricacao de carretel para circuito fechado 1,Não Classificado
57,"PARADA DE EMERGENCIA AF1,2 E 3","parada de emergencia af1,2 e 3",Parada de Máquina
58,"TRABALHEI ATE  AS 13:00 E VOLTEI AS 18:00"" ACOMPANHAMENTO AF3""","trabalhei ate  as 13:00 e voltei as 18:00"" acompanhamento af3""",Manutenção/Inspeção/Teste de Máquina
59,ACOMPANHAMENTO AF3,acompanhamento af3,Manutenção/Inspeção/Teste de Máquina
60,PARADA DP FORNO 1,parada dp forno 1,Parada de Máquina
61,TROCA DO PERFURADOR 4 AF3,troca do perfurador 4 af3,Manutenção/Inspeção/Teste de Máquina
62,TROCA DA PLATAFORMA DA CASA DE CORRIDA AF2,troca da plataforma da casa de corrida af2,Manutenção/Inspeção/Teste de Máquina
63,JIB 2 E ORGANIZAÇÃO DO CARREGAMENTO,jib 2 e organizacao do carregamento,Outros Eventos Externos
64,PARADA DE FINOS FM 26,parada de finos fm 26,Parada de Máquina
65,PARADA DE FINOS FM,parada de finos fm,Parada de Máquina
66,PARADA DE EMERGENCIA AF2 BISHOFFE,parada de emergencia af2 bishoffe,Parada de Máquina
67,INSPEÇÃO PCIs E Afs,inspecao pcis e afs,Manutenção/Inspeção/Teste de Máquina
68,Solicitacão da supervisão trabalhei na letra B no horário de 06 as 18 02/01/2024.,solicitacao da supervisao trabalhei na letra b no horario de 06 as 18 02/01/2024.,Não Classificado
69,LETRA A,letra a,"Para fornecer uma classificação, preciso que você me forneça a justificativa de hora extra que deseja que eu analise."
70,Solicitado por Eliéder no horário de 18 ás 06:00,solicitado por elieder no horario de 18 as 06:00,Não Classificado
71,Solicitaçãodo super visor,solicitacaodo super visor,Não Classificado
72,substituiçao de ausencia,substituicao de ausencia,Substituição de Colaborador
73,Apoio a equipe D,apoio a equipe d,Substituição de Colaborador
74,Eleições municipais 1º turno em 2024.,eleicoes municipais 1o turno em 2024.,Outros Eventos Externos
75,Atendimento operação AF02/AF03,atendimento operacao af02/af03,Parada de Máquina
76,Elaborar croquis de dispositivos para descomissionamento da BAT#1,elaborar croquis de dispositivos para descomissionamento da bat#1,Não Classificado
77,Recolher sucata residual do CC2 inicio da bateria e CDQ,recolher sucata residual do cc2 inicio da bateria e cdq,Não Classificado
78,Prontidão Tecnico Presencial escala de carnaval,prontidao tecnico presencial escala de carnaval,Outros Eventos Externos
79,Limpeza e organização das alas dos tecnicos de Sobressalentes (Patio de materiais),limpeza e organizacao das alas dos tecnicos de sobressalentes (patio de materiais),Outros Eventos Externos
80,Leitura propostas tecnicas BAt1 e confecção de croquis para dispositivos,leitura propostas tecnicas bat1 e confeccao de croquis para dispositivos,Não Classificado
81,Continuidade na arrumação das alas externas dos planejadores,continuidade na arrumacao das alas externas dos planejadores,Outros Eventos Externos
82,Arrumação e organização alas da equipe de planejamento patio ICCT,arrumacao e organizacao alas da equipe de planejamento patio icct,Outros Eventos Externos
83,Destravamentos dos codigos de material do vagão CWQ para reforma,destravamentos dos codigos de material do vagao cwq para reforma,Manutenção/Inspeção/Teste de Máquina
84,Arrumação e organização das alas do patio dos planejadores,arrumacao e organizacao das alas do patio dos planejadores,Outros Eventos Externos
85,Acompanhar montagem de andaime para preparação e montagem do dispositivo coletor secundario 1 e 2,acompanhar montagem de andaime para preparacao e montagem do dispositivo coletor secundario 1 e 2,Manutenção/Inspeção/Teste de Máquina
86,Acompanhar in loco modificiação dos andaime na BAT 1 para preparação e montagem da raquete,acompanhar in loco modificiacao dos andaime na bat 1 para preparacao e montagem da raquete,Manutenção/Inspeção/Teste de Máquina
87,Montagem e treinamento montagem dispositivo raqueteamento BA1 canteiro RIP,montagem e treinamento montagem dispositivo raqueteamento ba1 canteiro rip,Manutenção/Inspeção/Teste de Máquina
88,Preparação dos impedimentos da BAT#1 no SAP e revisão de procedimentos mecanicos,preparacao dos impedimentos da bat#1 no sap e revisao de procedimentos mecanicos,Manutenção/Inspeção/Teste de Máquina
89,Preparativos Montagem raquete BAT#1,preparativos montagem raquete bat#1,Manutenção/Inspeção/Teste de Máquina
90,Montagem raquete coletor secundario 2 BAT#1,montagem raquete coletor secundario 2 bat#1,Manutenção/Inspeção/Teste de Máquina
91,Montagem raquete coletor secundario 1 BAT#1,montagem raquete coletor secundario 1 bat#1,Manutenção/Inspeção/Teste de Máquina
92,Acompanhar desmobilização dos dispositivos e reaperto dos parafusos dos flanges de bloqueio BAT#1,acompanhar desmobilizacao dos dispositivos e reaperto dos parafusos dos flanges de bloqueio bat#1,Manutenção/Inspeção/Teste de Máquina
93,DESCARTE DE SUCATA DIVERSAS PATIO EXTERNO A ICCT,descarte de sucata diversas patio externo a icct,Outros Eventos Externos
94,PREPARAÇÃO TROCA DE 30 METROS TRILHO LOCOMOTIVA FRENTE TRANSFERENCIAS,preparacao troca de 30 metros trilho locomotiva frente transferencias,Manutenção/Inspeção/Teste de Máquina
95,Finalizado Corte das sucatas em inox do CC2 patio da ICCT,finalizado corte das sucatas em inox do cc2 patio da icct,Não Classificado
96,cadastro de materias para compra emergencial,cadastro de materias para compra emergencial,Não Classificado
97,Planejamento de notas atrasadas vindo da inspeção para programação,planejamento de notas atrasadas vindo da inspecao para programacao,Não Classificado
98,Acompnhar retorno do CP1 pos manutenção geral e retirada caçamba 5 c/ CP3,acompnhar retorno do cp1 pos manutencao geral e retirada cacamba 5 c/ cp3,Manutenção/Inspeção/Teste de Máquina
99,INCIO TROCA DE TRILHO DA LOCOMOTIVA DENTRO DA JANELA OPERACIONAL,incio troca de trilho da locomotiva dentro da janela operacional,Manutenção/Inspeção/Teste de Máquina
100,TROCA DE 30 METROS DE TRILHO NA LOCOMOTIVA,troca de 30 metros de trilho na locomotiva,Manutenção/Inspeção/Teste de Máquina
101,"TRATAMENTO DE ANOMALIA, SEPARAR MATERIAIS MANUT.LOC 1 E CP 3 E 2, REGISTRO DE INTERAÇÃO","tratamento de anomalia, separar materiais manut.loc 1 e cp 3 e 2, registro de interacao",Manutenção/Inspeção/Teste de Máquina
102,Separação de material para estoque e organização geral das alas dos planejadores,separacao de material para estoque e organizacao geral das alas dos planejadores,Outros Eventos Externos
103,Tratativas de demandas de oficina em emergencia para MM,tratativas de demandas de oficina em emergencia para mm,Manutenção/Inspeção/Teste de Máquina
104,AVALIAÇÃO DE PROPOSTA TECNICA COMERCIAL DESCOMISSIONAMENTO BAT 1 (RIP E REFRAMAX),avaliacao de proposta tecnica comercial descomissionamento bat 1 (rip e reframax),Não Classificado
105,Demandas de planejamento represadas devido reuniões descomissionamento BAT 1,demandas de planejamento represadas devido reunioes descomissionamento bat 1,Não Classificado
106,"Catalogar materiais no patio ICCT, criação de reservas para devolução ao almoxarifado","catalogar materiais no patio icct, criacao de reservas para devolucao ao almoxarifado",Outros Eventos Externos
107,"Montagem andaime coletor terciario, atendimento MD1 trava extratora, MD3 encolder embolo","montagem andaime coletor terciario, atendimento md1 trava extratora, md3 encolder embolo",Manutenção/Inspeção/Teste de Máquina
108,"Estoque avançado, inventario","estoque avancado, inventario",Outros Eventos Externos
109,"Atendimento emergencial MD3, gancho abridor portinhola","atendimento emergencial md3, gancho abridor portinhola",Manutenção/Inspeção/Teste de Máquina
110,"Inventario, identificação e reserva de devolução de material estoque avançado","inventario, identificacao e reserva de devolucao de material estoque avancado",Outros Eventos Externos
111,ACOMPNHAR TESTES PÓS PREVENTIVA MD3,acompnhar testes pos preventiva md3,Manutenção/Inspeção/Teste de Máquina
112,ARRUMAÇÃO DE PATIO ESTOQUE AVANÇADO,arrumacao de patio estoque avancado,Outros Eventos Externos
113,Atendimento Prontidão tecnico quebra trilho locomotiva,atendimento prontidao tecnico quebra trilho locomotiva,Parada de Máquina
114,Testes carro de carregamento 4 pós preventiva,testes carro de carregamento 4 pos preventiva,Manutenção/Inspeção/Teste de Máquina
115,Acompanhar reparo embolo MD3 - empresa TECNOVIX,acompanhar reparo embolo md3 - empresa tecnovix,Manutenção/Inspeção/Teste de Máquina
116,Preparação parada MD2 - Reparo cabeça embolo,preparacao parada md2 - reparo cabeca embolo,Manutenção/Inspeção/Teste de Máquina
117,Reparo cabeça embolo - acompanhamento,reparo cabeca embolo - acompanhamento,Manutenção/Inspeção/Teste de Máquina
118,Reparo cabeça embolo - acompanhamento continuação,reparo cabeca embolo - acompanhamento continuacao,Manutenção/Inspeção/Teste de Máquina
119,"Atendimento unidade 201 (acompanhar TH), solicitado pelo supervisor Daniel Prontidão","atendimento unidade 201 (acompanhar th), solicitado pelo supervisor daniel prontidao",Não Classificado
120,Substituição de 36 metros de trilho na locomotiva frente transferencia 2,substituicao de 36 metros de trilho na locomotiva frente transferencia 2,Manutenção/Inspeção/Teste de Máquina
121,ACOMPNHAR TESTES PÓS PREVENTIVA MD2 e OCORRENCIA SACA TAMPA 2 CC5,acompnhar testes pos preventiva md2 e ocorrencia saca tampa 2 cc5,Manutenção/Inspeção/Teste de Máquina
122,Emergencia redutor auxiliar embolo da MD3,emergencia redutor auxiliar embolo da md3,Manutenção/Inspeção/Teste de Máquina
123,Atualização de novos codigos de materiais no SAP,atualizacao de novos codigos de materiais no sap,Não Classificado
124,Atendimento emergencial caçamba nº7,atendimento emergencial cacamba no7,Manutenção/Inspeção/Teste de Máquina
125,Suprindo ausência de operadores.,suprindo ausencia de operadores.,Substituição de Colaborador
126,Equipe de forno engaiolado.,equipe de forno engaiolado.,Manutenção/Inspeção/Teste de Máquina
127,Operação / RMSA / Operação.,operacao / rmsa / operacao.,Não Classificado
128,Troca do cilindro C.8 da Bateria 04.,troca do cilindro c.8 da bateria 04.,Manutenção/Inspeção/Teste de Máquina
129,Descomissionamento da Bateria 01.,descomissionamento da bateria 01.,Parada de Máquina
130,RMSA e Encontro de Segurança.,rmsa e encontro de seguranca.,Outros Eventos Externos
131,Manutenção com jato de pressão no sistema EnviBat da 04.,manutencao com jato de pressao no sistema envibat da 04.,Manutenção/Inspeção/Teste de Máquina
132,Superindo ausência de operadores.,superindo ausencia de operadores.,Substituição de Colaborador
133,Equipe de forno engaiolado (Forno 103).,equipe de forno engaiolado (forno 103).,Parada de Máquina
134,Apoio a sala de controle após sinistro com caldeira na CTE.,apoio a sala de controle apos sinistro com caldeira na cte.,Parada de Máquina
135,Afastamento do Wellington.,afastamento do wellington.,Substituição de Colaborador
136,Treinamento Balança Disobox Plus,treinamento balanca disobox plus,Não Classificado
137,Treinamento Disobox,treinamento disobox,Não Classificado
138,Treinamento Sistema CBG,treinamento sistema cbg,Não Classificado
139,PINCSINT0124 - ATENDIMENTO A SERVIÇOS - PARADA EMERGENCIAL DO ALTO FORNO Nº 1,pincsint0124 - atendimento a servicos - parada emergencial do alto forno no 1,Parada de Máquina
140,ACOMPANHAMENTO DE SERVIÇOS DURANTE A PARADA PROGRAMADA DO AF-01,acompanhamento de servicos durante a parada programada do af-01,Manutenção/Inspeção/Teste de Máquina
141,ATENDIMENTO NA OCORRENCIA DE REPARO DO RASGO DA CORREIA DE MINÉRIO 02,atendimento na ocorrencia de reparo do rasgo da correia de minerio 02,Manutenção/Inspeção/Teste de Máquina
142,ATENDIMENTO NA OCORRENCIA/CALIBRAÇÃO DA BALANÇA 02 DO CARREGAMENTO DO AF-01,atendimento na ocorrencia/calibracao da balanca 02 do carregamento do af-01,Manutenção/Inspeção/Teste de Máquina
143,ATENDIMENTO A OCORRENCIA DE DESARME DA SALA ELÉTRICA Nº 2 - PARADA TOTAL DO GE-02 / PONTES C.C -02,atendimento a ocorrencia de desarme da sala eletrica no 2 - parada total do ge-02 / pontes c.c -02,Parada de Máquina
144,ATENDIMENTO NA PARADA DO AF-01 - TESTES DE RETORNO,atendimento na parada do af-01 - testes de retorno,Manutenção/Inspeção/Teste de Máquina
145,CALIBRAÇÃO DA BALANÇA Nº5 DO CARREGAMENTO DO AF-01,calibracao da balanca no5 do carregamento do af-01,Manutenção/Inspeção/Teste de Máquina
146,ACOMPANHAMENTO NA TROCA DA PENEIRA 04 DE MINÉRIO,acompanhamento na troca da peneira 04 de minerio,Manutenção/Inspeção/Teste de Máquina
147,ACOMPANHAMENTO DA PARADA OPERACIONAL EMERGENCIA DO AF-01,acompanhamento da parada operacional emergencia do af-01,Parada de Máquina
148,ACOMPANHAMENTO NA OCORRENCIA DA TROCA DO TAMBOR DA CTFM-03,acompanhamento na ocorrencia da troca do tambor da ctfm-03,Manutenção/Inspeção/Teste de Máquina
149,ATENDIMENTO NA OCORRENCIA DE TRINCA DO TAMBOR DA CTP - AF-01,atendimento na ocorrencia de trinca do tambor da ctp - af-01,Parada de Máquina
150,ATENDIMENTO NA OCORRÊNCIA DE QUEBRA DO FUSIVEL MECANICO NA CORREIA DE MINÉRIO 2,atendimento na ocorrencia de quebra do fusivel mecanico na correia de minerio 2,Parada de Máquina
151,ATENDIMENTO EM BLOQUEIO NA CTP - ATEND SOLDA NO TAMBOR,atendimento em bloqueio na ctp - atend solda no tambor,Manutenção/Inspeção/Teste de Máquina
152,REALIZAÇÃO DE MANOBRAS PARA LIGAÇÃO DE GERADORES NAS SE01/SE02 E FABRIL,realizacao de manobras para ligacao de geradores nas se01/se02 e fabril,Manutenção/Inspeção/Teste de Máquina
153,ATENDIMENTO NA PARADA DO AF-01,atendimento na parada do af-01,Parada de Máquina
154,ATENDIMENTO NA PARADA DO AF-01 / OCORRÊNCIA DE FALHA CTFM-01,atendimento na parada do af-01 / ocorrencia de falha ctfm-01,Parada de Máquina
155,ESCALA DE ACOMPANHAMENTO ESTABILIDADE OPERACIONAL DO AF-01,escala de acompanhamento estabilidade operacional do af-01,Manutenção/Inspeção/Teste de Máquina
156,ATENDIMENTO NA PARADA EMERGENCIAL DO AF-01,atendimento na parada emergencial do af-01,Parada de Máquina
157,Substituição de Empregado,substituicao de empregado,Substituição de Colaborador
158,Substituição empregado,substituicao empregado,Substituição de Colaborador
159,convocação para trabalhos na parada do alto forno 1,convocacao para trabalhos na parada do alto forno 1,Parada de Máquina
160,PARADA OPERACIONAL DO AF1 (SINTERIZAÇÃO) PINCSINT0124,parada operacional do af1 (sinterizacao) pincsint0124,Parada de Máquina
161,PREPARAÇÃO DE PARADA AF1 - PINCSINT0124,preparacao de parada af1 - pincsint0124,Parada de Máquina
162,PARADA DO AF1 - PINCSINT0124,parada do af1 - pincsint0124,Parada de Máquina
163,"INSPEÇÃO PVU AF1, AF2 E AF3 PRONTIDÃO PINCSINT0124","inspecao pvu af1, af2 e af3 prontidao pincsint0124",Manutenção/Inspeção/Teste de Máquina
164,PARADA DE EMERGÊNCIA PRONTIDÃO PINCSINT0124,parada de emergencia prontidao pincsint0124,Parada de Máquina
165,Prontidão Carnaval,prontidao carnaval,Outros Eventos Externos
166,AF3 - HS2 - INSTALAÇÃO DOS TERMOPARAES NA REGIÃO DA QUEDA DOS REFRATÁRIOS,af3 - hs2 - instalacao dos termoparaes na regiao da queda dos refratarios,Manutenção/Inspeção/Teste de Máquina
167,AF3 PARADA PROGRAMADA,af3 parada programada,Parada de Máquina
168,PARADA DO AF1 - ENDOSCOPIA NAS VAQS,parada do af1 - endoscopia nas vaqs,Parada de Máquina
169,PARADA DO AF1 - ACOMPANHAR OS SERVIÇOS DA PARADA,parada do af1 - acompanhar os servicos da parada,Parada de Máquina
170,ALTF124B - PARADA DO AF1 - ACOMPANHAMENTO DOS SERVIÇOS DE PARADA,altf124b - parada do af1 - acompanhamento dos servicos de parada,Parada de Máquina
171,ALTF124B - PARADA DO AF1 - ACOMPANHAMENTO REPARO NO BOJO SOB O FG3,altf124b - parada do af1 - acompanhamento reparo no bojo sob o fg3,Parada de Máquina
172,ÃF1 - INSPEÇÃO DE ROTINA NO FERIADO DE CORPUS CRISTI,af1 - inspecao de rotina no feriado de corpus cristi,Manutenção/Inspeção/Teste de Máquina
173,PRONTIDÃO CORPUS CRISTI - ATENDIMENTO NA SONDA 01 DO AF1,prontidao corpus cristi - atendimento na sonda 01 do af1,Outros Eventos Externos
174,PARADA OPERACIONAL AF1 INSTALAÇÃO DE TERMOPARES NO FG4,parada operacional af1 instalacao de termopares no fg4,Manutenção/Inspeção/Teste de Máquina
175,ACOMPANHAMENTO DO RETORNO DO AF1 - PARADA OPERACIONAL AF1 INSTALAÇÃO DE TERMOPARES NO FG4,acompanhamento do retorno do af1 - parada operacional af1 instalacao de termopares no fg4,Parada de Máquina
176,AF1/CADINHO/DECAPAGEM DOS CIGARRÕES,af1/cadinho/decapagem dos cigarroes,Não Classificado
177,HORA EXTRA PREPARAÇÃO DE PARADA DO AF1,hora extra preparacao de parada do af1,Parada de Máquina
178,PARADA DO AF1 ENDOSCOPIA VAQS E CORE DRILLING,parada do af1 endoscopia vaqs e core drilling,Parada de Máquina
179,PARADA DO AF1 CORE DRILLING,parada do af1 core drilling,Parada de Máquina
180,AF3 - PARADA PROGRAMADA,af3 - parada programada,Parada de Máquina
181,PREPARAÇÃO DE PARADA DO AF1,preparacao de parada do af1,Parada de Máquina
182,HORA EXTRA PARADA DO AF1,hora extra parada do af1,Parada de Máquina
183,"PRONTIDÃO: INSPEÇÃO NO AF1, AF2 E AF3","prontidao: inspecao no af1, af2 e af3",Manutenção/Inspeção/Teste de Máquina
184,Reparo estrutural / Troca de chapas de desgaste da Caçamba 3,reparo estrutural / troca de chapas de desgaste da cacamba 3,Manutenção/Inspeção/Teste de Máquina
185,Manutenção Caçamba 3 / Planejamento MM's,manutencao cacamba 3 / planejamento mm's,Manutenção/Inspeção/Teste de Máquina
186,Montagem chapa de desgaste Caçamba 6 / Planejamento MM's,montagem chapa de desgaste cacamba 6 / planejamento mm's,Manutenção/Inspeção/Teste de Máquina
187,Reparo moldura e montagem de chapa de desgaste Caçamba 6,reparo moldura e montagem de chapa de desgaste cacamba 6,Manutenção/Inspeção/Teste de Máquina
188,Manobra da caçamba 5 / Reparo estrutural / Troca de chapas de desgaste,manobra da cacamba 5 / reparo estrutural / troca de chapas de desgaste,Manutenção/Inspeção/Teste de Máquina
189,Manutenção Caçamba 5 / Planejamento MM's,manutencao cacamba 5 / planejamento mm's,Manutenção/Inspeção/Teste de Máquina
190,Manobra da caçamba 5 / Manobra da Caçamba 7,manobra da cacamba 5 / manobra da cacamba 7,Não Classificado
191,Reparo estrutural / Troca de chapas de desgaste da Caçamba 7,reparo estrutural / troca de chapas de desgaste da cacamba 7,Manutenção/Inspeção/Teste de Máquina
192,Planejamento OM's de parada de MM's,planejamento om's de parada de mm's,Parada de Máquina
193,Prontidão presencial carnaval,prontidao presencial carnaval,Outros Eventos Externos
194,Jateamento e pintura Balão ar comp MD-1 / Cilindro recuo gancho MD-2,jateamento e pintura balao ar comp md-1 / cilindro recuo gancho md-2,Manutenção/Inspeção/Teste de Máquina
195,Manutenção Caçamba 7 / Manutenção bomba do sistema hidráulico do CC6,manutencao cacamba 7 / manutencao bomba do sistema hidraulico do cc6,Manutenção/Inspeção/Teste de Máquina
196,Limpeza reservatório sistema hidráulico CC-6,limpeza reservatorio sistema hidraulico cc-6,Manutenção/Inspeção/Teste de Máquina
197,Parada MD3 para troca chapa de piso/Jateamento e pintura balão de ar comprimido,parada md3 para troca chapa de piso/jateamento e pintura balao de ar comprimido,Parada de Máquina
198,Conclusão planejamento máquinas móveis / caçambas de coque,conclusao planejamento maquinas moveis / cacambas de coque,Manutenção/Inspeção/Teste de Máquina
199,Troca da Ponta da Barra Niveladora da MD-2,troca da ponta da barra niveladora da md-2,Manutenção/Inspeção/Teste de Máquina
